codes,country,country_altern,cluster_name,in_cluster,cluster_code,hemisphere
KEN,Kenya,Kenya,Africa,TRUE,GHA,NH
KGZ,Kyrgyzstan,Kyrgyzstan,Asia-Europe,TRUE,TUR,NH
KHM,Cambodia,Cambodia,Eastern and Southern Asia,TRUE,CHN,NH
KOR,South Korea,Republic of Korea,Eastern and Southern Asia,TRUE,CHN,NH
KWT,Kuwait,Kuwait,Asia-Europe,TRUE,TUR,NH
LAO,Laos,Lao People's Democratic Republic,Eastern and Southern Asia,TRUE,CHN,NH
LBN,Lebanon,Lebanon,Asia-Europe,TRUE,TUR,NH
LBR,Liberia,Liberia,Africa,FALSE,GHA,NH
LBY,Libya,Libya,Europe,FALSE,GBR,NH
LCA,St. Lucia,Saint Lucia,Southern America,FALSE,ARG,SH
LKA,Sri Lanka,Sri Lanka,Eastern and Southern Asia,TRUE,CHN,NH
LSO,Lesotho,Lesotho,Africa,FALSE,GHA,NH
LTU,Lithuania,Lithuania,Europe,TRUE,GBR,NH
LUX,Luxembourg,Luxembourg,Europe,FALSE,GBR,NH
LVA,Latvia,Latvia,Europe,FALSE,GBR,NH
MAR,Morocco,Morocco,Europe,TRUE,GBR,NH
MDA,Moldova,Republic of Moldova,Europe,FALSE,GBR,NH
MDG,Madagascar,Madagascar,Africa,TRUE,GHA,NH
MDV,Maldives,Maldives,Eastern and Southern Asia,TRUE,CHN,NH
MEX,Mexico,Mexico,Northern America,TRUE,CAN,NH
MKD,North Macedonia,North Macedonia,Europe,FALSE,GBR,NH
MLI,Mali,Mali,Africa,TRUE,GHA,NH
MLT,Malta,Malta,Europe,TRUE,GBR,NH
MMR,Myanmar (Burma),Myanmar,Eastern and Southern Asia,FALSE,CHN,NH
MNE,Montenegro,Montenegro,Europe,FALSE,GBR,NH
MNG,Mongolia,Mongolia,Eastern and Southern Asia,TRUE,CHN,NH
MOZ,Mozambique,Mozambique,Africa,TRUE,GHA,NH
MRT,Mauritania,Mauritania,Africa,FALSE,GHA,NH
MUS,Mauritius,Mauritius,Africa,TRUE,GHA,NH
MWI,Malawi,Malawi,Africa,FALSE,GHA,NH
MYS,Malaysia,Malaysia,Eastern and Southern Asia,TRUE,CHN,NH
NAM,Namibia,Namibia,Africa,FALSE,GHA,NH
NER,Niger,Niger,Africa,TRUE,GHA,NH
NGA,Nigeria,Nigeria,Africa,TRUE,GHA,NH
NIC,Nicaragua,Nicaragua,Northern America,TRUE,CAN,NH
NLD,Netherlands,Netherlands,Europe,TRUE,GBR,NH
NOR,Norway,Norway,Europe,TRUE,GBR,NH
NPL,Nepal,Nepal,Eastern and Southern Asia,TRUE,CHN,NH
NZL,New Zealand,New Zealand,Oceania-Melanesia-Polynesia,FALSE,AUS,SH
OMN,Oman,Oman,Asia-Europe,TRUE,TUR,NH
PAK,Pakistan,Pakistan,Asia-Europe,TRUE,TUR,NH
PAN,Panama,Panama,Southern America,TRUE,ARG,SH
PER,Peru,Peru,Northern America,TRUE,CAN,NH
PHL,Philippines,Philippines,Eastern and Southern Asia,TRUE,CHN,NH
PNG,Papua New Guinea,Papua New Guinea,Eastern and Southern Asia,TRUE,CHN,NH
POL,Poland,Poland,Europe,TRUE,GBR,NH
PRK,North Korea,Dem. People's Republic of Korea,Eastern and Southern Asia,FALSE,CHN,NH
PRT,Portugal,Portugal,Europe,FALSE,GBR,NH
PRY,Paraguay,Paraguay,Southern America,TRUE,ARG,SH
QAT,Qatar,Qatar,Asia-Europe,TRUE,TUR,NH
ROU,Romania,Romania,Europe,FALSE,GBR,NH
RUS,Russia,Russian Federation,Eastern and Southern Asia,TRUE,CHN,NH
RWA,Rwanda,Rwanda,Asia-Europe,TRUE,TUR,NH
SAU,Saudi Arabia,Saudi Arabia,Asia-Europe,FALSE,TUR,NH
SDN,Sudan,Sudan,Africa,FALSE,GHA,NH
SEN,Senegal,Senegal,Africa,TRUE,GHA,NH
SGP,Singapore,Singapore,Eastern and Southern Asia,TRUE,CHN,NH
SLB,Solomon Islands,Solomon Islands,Oceania-Melanesia-Polynesia,FALSE,AUS,SH
SLE,Sierra Leone,Sierra Leone,Africa,TRUE,GHA,NH
SLV,El Salvador,El Salvador,Southern America,TRUE,ARG,SH
SRB,Serbia,Serbia,Europe,FALSE,GBR,NH
SSD,South Sudan,South Sudan,Africa,FALSE,GHA,NH
STP,São Tomé & Príncipe,Sao Tome and Principe,Africa,FALSE,GHA,NH
SUR,Suriname,Suriname,Southern America,TRUE,ARG,SH
SVK,Slovakia,Slovakia,Europe,TRUE,GBR,NH
SVN,Slovenia,Slovenia,Europe,TRUE,GBR,NH
SWE,Sweden,Sweden,Europe,FALSE,GBR,NH
SWZ,Eswatini,Swaziland,Africa,FALSE,GHA,NH
SYR,Syria,Syrian Arab Republic,Asia-Europe,FALSE,TUR,NH
TCD,Chad,Chad,Africa,FALSE,GHA,NH
TGO,Togo,Togo,Africa,TRUE,GHA,NH
THA,Thailand,Thailand,Eastern and Southern Asia,TRUE,CHN,NH
TJK,Tajikistan,Tajikistan,Asia-Europe,FALSE,TUR,NH
TKM,Turkmenistan,Turkmenistan,Asia-Europe,FALSE,TUR,NH
TLS,Timor-Leste,East Timor,Eastern and Southern Asia,FALSE,CHN,NH
TON,Tonga,Tonga,Oceania-Melanesia-Polynesia,FALSE,AUS,SH
TTO,Trinidad & Tobago,Trinidad and Tobago,Southern America,FALSE,ARG,SH
TUN,Tunisia,Tunisia,Europe,FALSE,GBR,NH
TUR,Turkey,Türkiye,Asia-Europe,TRUE,TUR,NH
TZA,Tanzania,United Republic of Tanzania,Africa,TRUE,GHA,NH
UGA,Uganda,Uganda,Africa,TRUE,GHA,NH
UKR,Ukraine,Ukraine,Europe,TRUE,GBR,NH
URY,Uruguay,Uruguay,Southern America,TRUE,ARG,SH
USA,United States,United States of America,Northern America,TRUE,CAN,NH
UZB,Uzbekistan,Uzbekistan,Asia-Europe,FALSE,TUR,NH
VCT,St. Vincent & Grenadines,Saint Vincent and the Grenadines,Southern America,FALSE,ARG,SH
VEN,Venezuela,Venezuela (Bolivarian Republic of),Southern America,TRUE,ARG,SH
VNM,Vietnam,Viet Nam,Eastern and Southern Asia,TRUE,CHN,NH
VUT,Vanuatu,Vanuatu,Oceania-Melanesia-Polynesia,FALSE,AUS,SH
WSM,Samoa,Samoa,Oceania-Melanesia-Polynesia,FALSE,AUS,SH
YEM,Yemen,Yemen,Asia-Europe,FALSE,TUR,NH
ZAF,South Africa,South Africa,Africa,TRUE,GHA,NH
ZMB,Zambia,Zambia,Africa,TRUE,GHA,NH
ZWE,Zimbabwe,Zimbabwe,Africa,FALSE,GHA,NH
JPN,Japan,Japan,Eastern and Southern Asia,FALSE,CHN,NH
SOM,Somalia,Somalia,Africa,FALSE,GHA,NH
