country_code,region,simulation_index,ratio
AFG,North Africa and Middle East,1,12.99605699911224
AFG,North Africa and Middle East,2,1.952718482062862
AFG,North Africa and Middle East,3,2.762201046548095
AFG,North Africa and Middle East,4,9.398197081984886
AFG,North Africa and Middle East,5,3.8273342654781235
AFG,North Africa and Middle East,6,14.458460817196753
AFG,North Africa and Middle East,7,11.163828644066704
AFG,North Africa and Middle East,8,8.274687168237564
AFG,North Africa and Middle East,9,8.996299314495776
AFG,North Africa and Middle East,10,3.610954948247662
AFG,North Africa and Middle East,11,5.768094950508829
AFG,North Africa and Middle East,12,2.92460020094471
AFG,North Africa and Middle East,13,7.490926346518261
AFG,North Africa and Middle East,14,4.6332247189558835
AFG,North Africa and Middle East,15,22.744124397392657
AFG,North Africa and Middle East,16,8.985189881248182
AFG,North Africa and Middle East,17,3.3660198463138644
AFG,North Africa and Middle East,18,5.1068798635269115
AFG,North Africa and Middle East,19,5.586811329382973
AFG,North Africa and Middle East,20,7.314953058993108
AFG,North Africa and Middle East,21,5.434571120828813
AFG,North Africa and Middle East,22,10.001884562816645
AFG,North Africa and Middle East,23,14.047116912497662
AFG,North Africa and Middle East,24,6.263282683863475
AFG,North Africa and Middle East,25,9.391575969139351
AFG,North Africa and Middle East,26,3.518281554865428
AFG,North Africa and Middle East,27,9.579740379364152
AFG,North Africa and Middle East,28,6.484236563731693
AFG,North Africa and Middle East,29,4.678171250523867
AFG,North Africa and Middle East,30,21.235283259987188
AFG,North Africa and Middle East,31,6.7278556849313524
AFG,North Africa and Middle East,32,8.254998285733391
AFG,North Africa and Middle East,33,15.437049541639013
AFG,North Africa and Middle East,34,2.326967238251216
AFG,North Africa and Middle East,35,5.993671401594647
AFG,North Africa and Middle East,36,2.8475657192180703
AFG,North Africa and Middle East,37,2.511158012861341
AFG,North Africa and Middle East,38,32.85186420132741
AFG,North Africa and Middle East,39,5.433719075271917
AFG,North Africa and Middle East,40,6.123112105785378
AFG,North Africa and Middle East,41,6.770451986361218
AFG,North Africa and Middle East,42,4.311122718028182
AFG,North Africa and Middle East,43,12.766295978047612
AFG,North Africa and Middle East,44,8.944715720692137
AFG,North Africa and Middle East,45,3.2833770094165757
AFG,North Africa and Middle East,46,2.2953496805210447
AFG,North Africa and Middle East,47,7.245655120332846
AFG,North Africa and Middle East,48,4.234485128726849
AFG,North Africa and Middle East,49,14.631640502449416
AFG,North Africa and Middle East,50,3.930546576174424
AFG,North Africa and Middle East,51,14.858935390195931
AFG,North Africa and Middle East,52,5.629174003397623
AFG,North Africa and Middle East,53,3.2995236106081833
AFG,North Africa and Middle East,54,8.135820342335222
AFG,North Africa and Middle East,55,4.704414474499502
AFG,North Africa and Middle East,56,4.597113182062184
AFG,North Africa and Middle East,57,3.095358276266626
AFG,North Africa and Middle East,58,6.3591019121427435
AFG,North Africa and Middle East,59,17.074934431883754
AFG,North Africa and Middle East,60,7.0580480531815795
AFG,North Africa and Middle East,61,2.552233479617726
AFG,North Africa and Middle East,62,6.627201045926127
AFG,North Africa and Middle East,63,6.1221526710866785
AFG,North Africa and Middle East,64,9.18845129714817
AFG,North Africa and Middle East,65,4.336704153002005
AFG,North Africa and Middle East,66,18.156907911572205
AFG,North Africa and Middle East,67,14.48411684722394
AFG,North Africa and Middle East,68,9.076466202691615
AFG,North Africa and Middle East,69,6.290311629244503
AFG,North Africa and Middle East,70,4.808350769480069
AFG,North Africa and Middle East,71,16.5509101165539
AFG,North Africa and Middle East,72,4.495886856045174
AFG,North Africa and Middle East,73,8.242658130565315
AFG,North Africa and Middle East,74,4.614783499855913
AFG,North Africa and Middle East,75,4.427241005374858
AFG,North Africa and Middle East,76,9.044217314054395
AFG,North Africa and Middle East,77,6.060418917687019
AFG,North Africa and Middle East,78,2.9062209932740344
AFG,North Africa and Middle East,79,4.093956228997892
AFG,North Africa and Middle East,80,17.20851057878092
AFG,North Africa and Middle East,81,4.786398360483201
AFG,North Africa and Middle East,82,15.520222514279844
AFG,North Africa and Middle East,83,15.316033090192962
AFG,North Africa and Middle East,84,11.786532732584625
AFG,North Africa and Middle East,85,6.474549514816164
AFG,North Africa and Middle East,86,6.66869443275202
AFG,North Africa and Middle East,87,3.6235142947845156
AFG,North Africa and Middle East,88,7.600191437411088
AFG,North Africa and Middle East,89,3.117622798365627
AFG,North Africa and Middle East,90,4.780166785121402
AFG,North Africa and Middle East,91,13.93267509862474
AFG,North Africa and Middle East,92,5.515181708075632
AFG,North Africa and Middle East,93,7.1993070915757755
AFG,North Africa and Middle East,94,3.1790699227224875
AFG,North Africa and Middle East,95,11.128521391349139
AFG,North Africa and Middle East,96,6.220385728755929
AFG,North Africa and Middle East,97,5.4624219584396325
AFG,North Africa and Middle East,98,9.805611730101923
AFG,North Africa and Middle East,99,4.3048279743191316
AFG,North Africa and Middle East,100,10.2769098743987
AGO,Sub-Saharan Africa,1,2.485321882866535
AGO,Sub-Saharan Africa,2,3.7449403226221345
AGO,Sub-Saharan Africa,3,7.930089817562438
AGO,Sub-Saharan Africa,4,5.706396170077484
AGO,Sub-Saharan Africa,5,3.2415231825671142
AGO,Sub-Saharan Africa,6,8.60009167308109
AGO,Sub-Saharan Africa,7,2.108937030859143
AGO,Sub-Saharan Africa,8,4.1249123595163475
AGO,Sub-Saharan Africa,9,6.06427493548047
AGO,Sub-Saharan Africa,10,5.535920144358884
AGO,Sub-Saharan Africa,11,6.13307167639478
AGO,Sub-Saharan Africa,12,3.383594449767198
AGO,Sub-Saharan Africa,13,9.40269348845898
