iso3c,simulation_index,delivery_cost
AFG,1,0.7571575476992369
AFG,2,0.6007635829005618
AFG,3,2.0710091904736707
AFG,4,0.44970600174629993
AFG,5,0.6599944886126786
AFG,6,1.884818374661869
AFG,7,0.24436115280988935
AFG,8,1.0647897246916056
AFG,9,0.48697117348812907
AFG,10,1.1090497397458454
AFG,11,0.3439608103481445
AFG,12,2.1937140470205034
AFG,13,0.711455836927256
AFG,14,1.2234959997723427
AFG,15,1.2147560405948647
AFG,16,1.2493930016564092
AFG,17,1.5421591494350892
AFG,18,0.7172193573009911
AFG,19,0.9591534988355379
AFG,20,0.7536360974288124
AFG,21,0.603293376971688
AFG,22,1.5430538364065476
AFG,23,0.972429656074367
AFG,24,1.032038369667535
AFG,25,0.9863392812273886
AFG,26,1.0616604298297343
AFG,27,1.6320324244316238
AFG,28,1.1110557644954193
AFG,29,0.26968906157319944
AFG,30,1.9888093732717886
AFG,31,6.95264893395935
AFG,32,1.9620695275034876
AFG,33,1.3439279356365235
AFG,34,1.4689184841415226
AFG,35,0.6605546663652437
AFG,36,0.7699165181224891
AFG,37,1.219037367316022
AFG,38,0.6147011742361436
AFG,39,1.4686779568551813
AFG,40,0.5936449329553045
AFG,41,2.30164833128149
AFG,42,0.5501000702526304
AFG,43,0.8261458863794148
AFG,44,1.6531146730934854
AFG,45,0.8793462311648242
AFG,46,0.4233664731889825
AFG,47,1.6772687980036673
AFG,48,1.7412939737095323
AFG,49,0.8876388204235628
AFG,50,1.190245762961496
AFG,51,1.0487120958743168
AFG,52,1.1768262071002658
AFG,53,1.806644727076826
AFG,54,0.8284633848395803
AFG,55,0.8418037814351275
AFG,56,1.051675951582204
AFG,57,0.4408516057809501
AFG,58,0.312044633568401
AFG,59,0.9457242688163031
AFG,60,1.677542885922552
AFG,61,0.7693998366513867
AFG,62,0.6012837868152676
AFG,63,0.5040253168771202
AFG,64,0.457022267551824
AFG,65,0.528298903983585
AFG,66,0.46436649513421563
AFG,67,1.0686904020274515
AFG,68,3.018637009422477
AFG,69,1.8122670271011045
AFG,70,0.44314439605131434
AFG,71,0.8709188576507706
AFG,72,0.08880278116369798
AFG,73,1.8246173093124192
AFG,74,0.6636224298935887
AFG,75,2.1135419373412483
AFG,76,1.2838706641381505
AFG,77,0.3148391537544011
AFG,78,0.9961046833311511
AFG,79,0.5493325525005732
AFG,80,0.5167244209514966
AFG,81,0.569584384771879
AFG,82,1.7615418292244631
AFG,83,0.5145806647737854
AFG,84,0.8588796441727633
AFG,85,0.4263396388391285
AFG,86,0.200570905951914
AFG,87,0.8801797707028725
AFG,88,1.275782484892845
AFG,89,0.5932125054421887
AFG,90,0.8302863149653875
AFG,91,1.0087103706545315
AFG,92,0.6392553486689345
AFG,93,1.3032958974380702
AFG,94,0.4360059174464282
AFG,95,3.486002535480649
AFG,96,0.4027919628391374
AFG,97,1.1353868089185886
AFG,98,1.6237909840155558
AFG,99,0.7702087020693663
AFG,100,0.7168550659007199
ALB,1,6.7671384501719025
ALB,2,6.502918544418345
ALB,3,4.903817911496276
ALB,4,4.83265473866149
ALB,5,7.70602832151341
ALB,6,9.195072498886237
ALB,7,7.876485943966885
ALB,8,7.7455748405882545
ALB,9,8.446648418527896
ALB,10,5.47594105241589
ALB,11,5.47296287839573
ALB,12,6.846524447676263
ALB,13,8.131542826938702
ALB,14,7.651708526456927
ALB,15,6.409805277121633
ALB,16,7.452472532705249
ALB,17,4.7060244942555345
ALB,18,4.2985330496706755
ALB,19,7.066664624745358
ALB,20,6.9114892659974725
ALB,21,12.651099141552601
ALB,22,6.34731243672173
ALB,23,6.041483319240335
ALB,24,5.761610375207951
ALB,25,6.635273204829219
ALB,26,11.82782499912278
ALB,27,10.214314303079163
ALB,28,8.330852606468374
ALB,29,10.961918579972135
ALB,30,4.36507027425315
ALB,31,4.735720726884671
ALB,32,7.049156400782363
ALB,33,7.088227930356494
ALB,34,10.50396085279298
ALB,35,6.567547221227924
ALB,36,13.377001725736568
ALB,37,5.5993220186560055
ALB,38,5.574802841092835
ALB,39,7.914853454087424
ALB,40,6.083740795839268
ALB,41,7.521972425414032
ALB,42,12.033574156949562
ALB,43,4.8464400720406635
ALB,44,8.320924426596264
