simulation_index,age_grp,ihr
1,1,0.013028334732738869
2,1,0.009545304985577157
3,1,0.01162012710034957
4,1,0.00923094242195615
5,1,0.006365926508164953
6,1,0.010276414279438595
7,1,0.009560581105189444
8,1,0.006167338298504331
9,1,0.005686129930358053
10,1,0.014007059096179737
11,1,0.005798378265184216
12,1,0.005811868667275452
13,1,0.00598569309777112
14,1,0.008904745563590409
15,1,0.009460561338465503
16,1,0.00844280187497409
17,1,0.007502681773527041
18,1,0.006639112722031977
19,1,0.01066842285788188
20,1,0.009507821215638451
21,1,0.006298118050677503
22,1,0.009564766955299316
23,1,0.005684353177517878
24,1,0.011325594858368164
25,1,0.008596063368422753
26,1,0.008958441823456112
27,1,0.0073040500934872885
28,1,0.0074762338232294825
29,1,0.010331919290034025
30,1,0.01111382577162294
31,1,0.007804913966618964
32,1,0.009667573542955228
33,1,0.008124408070875378
34,1,0.007354526193087705
35,1,0.0044993149736860276
36,1,0.006004132270529061
37,1,0.01354916539427128
38,1,0.008193501872824102
39,1,0.009058598275684527
40,1,0.004238591012306728
41,1,0.02025129440897492
42,1,0.0074658935395636875
43,1,0.00957022664051594
44,1,0.008575866004030354
45,1,0.011511872815796765
46,1,0.005872030360318245
47,1,0.00917549946031475
48,1,0.0133875800503998
49,1,0.006366306080538733
50,1,0.011575402673949636
51,1,0.006274521854277675
52,1,0.006194636376320101
53,1,0.007612024846217516
54,1,0.00873448277284072
55,1,0.0063725591100857746
56,1,0.008886945892663447
57,1,0.005882533671084167
58,1,0.008060788018295335
59,1,0.015889922156620415
60,1,0.0051971763381200705
61,1,0.011384773229089774
62,1,0.011628636346008537
63,1,0.010251111672355984
64,1,0.009695007953655313
65,1,0.009045745403824515
66,1,0.007294008865763506
67,1,0.009607013911726938
68,1,0.01149170577989906
69,1,0.007089312488737648
70,1,0.007559922036562388
71,1,0.00759045167644444
72,1,0.006191001022227288
73,1,0.008593956723992041
74,1,0.009424474831160141
75,1,0.007782999423189608
76,1,0.005263768293443523
77,1,0.008529946560945871
78,1,0.0073733626981660975
79,1,0.008512883572412405
80,1,0.008752994435017156
81,1,0.010761670891326625
82,1,0.008869401969252686
83,1,0.004182276978260254
84,1,0.008255687024631175
85,1,0.012924570743191645
86,1,0.008395464072890508
87,1,0.009667204413735232
88,1,0.0034362947142519604
89,1,0.006786334721598941
90,1,0.014643685518780952
91,1,0.00833774834235714
92,1,0.011521313539192706
93,1,0.009300941430230731
94,1,0.013515007325821187
95,1,0.006567835941768988
96,1,0.010951383107804658
97,1,0.0106798782448155
98,1,0.005387621614904331
99,1,0.008103037565790085
100,1,0.00584982766988736
1,2,3.8628659725562496e-4
2,2,3.331408713268842e-4
3,2,3.648656698767709e-4
4,2,3.295415212892469e-4
5,2,2.7420044720420075e-4
6,2,3.444827540775892e-4
7,2,3.3302382635954617e-4
8,2,2.675811998292717e-4
9,2,2.5939781948001534e-4
10,2,4.005006974805994e-4
11,2,2.6369887908059167e-4
12,2,2.632022912831479e-4
13,2,2.6788171853159754e-4
14,2,3.2490068060700677e-4
15,2,3.3311421095726774e-4
16,2,3.1481447303651904e-4
