country_code,cluster_name,attach_code,age_grp,simulation_index,ifr
ARG,Southern America,ARG,1,73,1.8470896578396876e-4
ARG,Southern America,ARG,1,74,1.8651470666277282e-4
ARG,Southern America,ARG,1,75,1.7370793779252926e-4
ARG,Southern America,ARG,1,76,1.7206114695192255e-4
ARG,Southern America,ARG,1,77,1.9845745169052255e-4
ARG,Southern America,ARG,1,78,1.8360614701028584e-4
ARG,Southern America,ARG,1,79,2.1446449611415452e-4
ARG,Southern America,ARG,1,80,1.9023182155013246e-4
ARG,Southern America,ARG,1,81,1.6478653444282194e-4
ARG,Southern America,ARG,1,82,1.7045791527584982e-4
ARG,Southern America,ARG,1,83,2.5956627779974136e-4
ARG,Southern America,ARG,1,84,1.6240933588657053e-4
ARG,Southern America,ARG,1,85,2.1130431634231136e-4
ARG,Southern America,ARG,1,86,1.9834540734888777e-4
ARG,Southern America,ARG,1,87,2.3307551326295987e-4
ARG,Southern America,ARG,1,88,1.7676339702813598e-4
ARG,Southern America,ARG,1,89,2.0655446165140055e-4
ARG,Southern America,ARG,1,90,1.9629467979512055e-4
ARG,Southern America,ARG,1,91,1.893312076498165e-4
ARG,Southern America,ARG,1,92,1.6645783187044927e-4
ARG,Southern America,ARG,1,93,2.0026433958690823e-4
ARG,Southern America,ARG,1,94,1.8725188941840323e-4
ARG,Southern America,ARG,1,95,1.5827051056574158e-4
ARG,Southern America,ARG,1,96,1.9479333972641209e-4
ARG,Southern America,ARG,1,97,2.0422282855480167e-4
ARG,Southern America,ARG,1,98,2.6612102512336635e-4
ARG,Southern America,ARG,1,99,2.2713167300121605e-4
ARG,Southern America,ARG,1,100,2.4313544876320383e-4
AUS,Oceania-Melanesia-Polynesia,AUS,1,1,1.1348733816208767e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,1,1.1348733816208767e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,1,1.1348733816208767e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,1,1.1348733816208767e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,1,1.1348733816208767e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,1,1.1348733816208767e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,1,1.1348733816208767e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,1,1.1348733816208767e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,2,1.3682558344468366e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,2,1.3682558344468366e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,2,1.3682558344468366e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,2,1.3682558344468366e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,2,1.3682558344468366e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,2,1.3682558344468366e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,2,1.3682558344468366e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,2,1.3682558344468366e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,3,1.028864298493783e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,3,1.028864298493783e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,3,1.028864298493783e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,3,1.028864298493783e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,3,1.028864298493783e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,3,1.028864298493783e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,3,1.028864298493783e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,3,1.028864298493783e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,4,1.209204272466359e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,4,1.209204272466359e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,4,1.209204272466359e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,4,1.209204272466359e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,4,1.209204272466359e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,4,1.209204272466359e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,4,1.209204272466359e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,4,1.209204272466359e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,5,1.889785990801437e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,5,1.889785990801437e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,5,1.889785990801437e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,5,1.889785990801437e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,5,1.889785990801437e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,5,1.889785990801437e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,5,1.889785990801437e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,5,1.889785990801437e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,6,1.1927879174042967e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,6,1.1927879174042967e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,6,1.1927879174042967e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,6,1.1927879174042967e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,6,1.1927879174042967e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,6,1.1927879174042967e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,6,1.1927879174042967e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,6,1.1927879174042967e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,7,1.780691857093979e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,7,1.780691857093979e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,7,1.780691857093979e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,7,1.780691857093979e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,7,1.780691857093979e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,7,1.780691857093979e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,7,1.780691857093979e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,7,1.780691857093979e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,8,1.4097073662847028e-05
FJI,Oceania-Melanesia-Polynesia,AUS,1,8,1.4097073662847028e-05
NCL,Oceania-Melanesia-Polynesia,AUS,1,8,1.4097073662847028e-05
NZL,Oceania-Melanesia-Polynesia,AUS,1,8,1.4097073662847028e-05
SLB,Oceania-Melanesia-Polynesia,AUS,1,8,1.4097073662847028e-05
TON,Oceania-Melanesia-Polynesia,AUS,1,8,1.4097073662847028e-05
VUT,Oceania-Melanesia-Polynesia,AUS,1,8,1.4097073662847028e-05
WSM,Oceania-Melanesia-Polynesia,AUS,1,8,1.4097073662847028e-05
AUS,Oceania-Melanesia-Polynesia,AUS,1,9,1.4810995286653108e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,9,1.4810995286653108e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,9,1.4810995286653108e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,9,1.4810995286653108e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,9,1.4810995286653108e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,9,1.4810995286653108e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,9,1.4810995286653108e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,9,1.4810995286653108e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,10,1.4017731299652011e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,10,1.4017731299652011e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,10,1.4017731299652011e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,10,1.4017731299652011e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,10,1.4017731299652011e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,10,1.4017731299652011e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,10,1.4017731299652011e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,10,1.4017731299652011e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,11,2.2194947121844956e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,11,2.2194947121844956e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,11,2.2194947121844956e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,11,2.2194947121844956e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,11,2.2194947121844956e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,11,2.2194947121844956e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,11,2.2194947121844956e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,11,2.2194947121844956e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,12,1.0083853015504596e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,12,1.0083853015504596e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,12,1.0083853015504596e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,12,1.0083853015504596e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,12,1.0083853015504596e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,12,1.0083853015504596e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,12,1.0083853015504596e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,12,1.0083853015504596e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,13,1.5069851957538941e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,13,1.5069851957538941e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,13,1.5069851957538941e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,13,1.5069851957538941e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,13,1.5069851957538941e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,13,1.5069851957538941e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,13,1.5069851957538941e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,13,1.5069851957538941e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,14,2.5032966529768404e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,14,2.5032966529768404e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,14,2.5032966529768404e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,14,2.5032966529768404e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,14,2.5032966529768404e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,14,2.5032966529768404e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,14,2.5032966529768404e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,14,2.5032966529768404e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,15,1.497017706823442e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,15,1.497017706823442e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,15,1.497017706823442e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,15,1.497017706823442e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,15,1.497017706823442e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,15,1.497017706823442e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,15,1.497017706823442e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,15,1.497017706823442e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,16,1.983747111052853e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,16,1.983747111052853e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,16,1.983747111052853e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,16,1.983747111052853e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,16,1.983747111052853e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,16,1.983747111052853e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,16,1.983747111052853e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,16,1.983747111052853e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,17,1.368413080419242e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,17,1.368413080419242e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,17,1.368413080419242e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,17,1.368413080419242e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,17,1.368413080419242e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,17,1.368413080419242e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,17,1.368413080419242e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,17,1.368413080419242e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,18,1.1877238912957528e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,18,1.1877238912957528e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,18,1.1877238912957528e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,18,1.1877238912957528e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,18,1.1877238912957528e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,18,1.1877238912957528e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,18,1.1877238912957528e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,18,1.1877238912957528e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,19,1.0011162658435725e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,19,1.0011162658435725e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,19,1.0011162658435725e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,19,1.0011162658435725e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,19,1.0011162658435725e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,19,1.0011162658435725e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,19,1.0011162658435725e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,19,1.0011162658435725e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,20,1.7761898903384716e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,20,1.7761898903384716e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,20,1.7761898903384716e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,20,1.7761898903384716e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,20,1.7761898903384716e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,20,1.7761898903384716e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,20,1.7761898903384716e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,20,1.7761898903384716e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,21,2.193937101157397e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,21,2.193937101157397e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,21,2.193937101157397e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,21,2.193937101157397e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,21,2.193937101157397e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,21,2.193937101157397e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,21,2.193937101157397e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,21,2.193937101157397e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,22,2.2767652319356308e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,22,2.2767652319356308e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,22,2.2767652319356308e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,22,2.2767652319356308e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,22,2.2767652319356308e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,22,2.2767652319356308e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,22,2.2767652319356308e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,22,2.2767652319356308e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,23,1.213203286448459e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,23,1.213203286448459e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,23,1.213203286448459e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,23,1.213203286448459e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,23,1.213203286448459e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,23,1.213203286448459e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,23,1.213203286448459e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,23,1.213203286448459e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,24,8.892295640752553e-6
FJI,Oceania-Melanesia-Polynesia,AUS,1,24,8.892295640752553e-6
NCL,Oceania-Melanesia-Polynesia,AUS,1,24,8.892295640752553e-6
NZL,Oceania-Melanesia-Polynesia,AUS,1,24,8.892295640752553e-6
SLB,Oceania-Melanesia-Polynesia,AUS,1,24,8.892295640752553e-6
TON,Oceania-Melanesia-Polynesia,AUS,1,24,8.892295640752553e-6
VUT,Oceania-Melanesia-Polynesia,AUS,1,24,8.892295640752553e-6
WSM,Oceania-Melanesia-Polynesia,AUS,1,24,8.892295640752553e-6
AUS,Oceania-Melanesia-Polynesia,AUS,1,25,1.3057034352286824e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,25,1.3057034352286824e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,25,1.3057034352286824e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,25,1.3057034352286824e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,25,1.3057034352286824e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,25,1.3057034352286824e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,25,1.3057034352286824e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,25,1.3057034352286824e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,26,1.782536471070992e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,26,1.782536471070992e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,26,1.782536471070992e-5
NZL,Oceania-Melanesia-Polynesia,AUS,1,26,1.782536471070992e-5
SLB,Oceania-Melanesia-Polynesia,AUS,1,26,1.782536471070992e-5
TON,Oceania-Melanesia-Polynesia,AUS,1,26,1.782536471070992e-5
VUT,Oceania-Melanesia-Polynesia,AUS,1,26,1.782536471070992e-5
WSM,Oceania-Melanesia-Polynesia,AUS,1,26,1.782536471070992e-5
AUS,Oceania-Melanesia-Polynesia,AUS,1,27,1.3270252066940337e-5
FJI,Oceania-Melanesia-Polynesia,AUS,1,27,1.3270252066940337e-5
NCL,Oceania-Melanesia-Polynesia,AUS,1,27,1.3270252066940337e-5
