"","iso3c","age_grp","cluster_name","yll"
"116","DZA",2,"Europe",29.1681631060055
"117","ESP",2,"Europe",29.8776516856597
"118","EST",2,"Europe",29.0341605183184
"119","FIN",2,"Europe",29.4406637204402
"120","FRA",2,"Europe",29.6786458225398
"121","GBR",2,"Europe",29.5453210170141
"122","GRC",2,"Europe",29.3184786158359
"123","HRV",2,"Europe",29.3357162964619
"124","HUN",2,"Europe",28.5049092944938
"125","IRL",2,"Europe",29.5921472937362
"126","ISL",2,"Europe",29.6745210977627
"127","ITA",2,"Europe",29.8674356345598
"128","LBY",2,"Europe",27.9541321422452
"129","LTU",2,"Europe",28.1395416792349
"130","LUX",2,"Europe",29.7169041308118
"131","LVA",2,"Europe",28.5093306336971
"132","MAR",2,"Europe",28.7878185017875
"133","MDA",2,"Europe",27.5920338772822
"134","MKD",2,"Europe",28.665697001336
"135","MLT",2,"Europe",30.0081785079121
"136","MNE",2,"Europe",28.832222898353
"137","NLD",2,"Europe",29.657780824079
"138","NOR",2,"Europe",29.6895567915769
"139","POL",2,"Europe",28.7536076427158
"140","PRT",2,"Europe",29.6080278352852
"141","ROU",2,"Europe",28.5411195615924
"142","SRB",2,"Europe",28.6694053297519
"143","SVK",2,"Europe",28.5181137994375
"144","SVN",2,"Europe",29.7095799197016
"145","SWE",2,"Europe",29.7648784256213
"146","TUN",2,"Europe",28.5753440613625
"147","UKR",2,"Europe",27.1147137486319
"148","XKX",2,"Europe",29.3307307584144
"149","BOL",2,"Southern America",27.0263248213166
"150","BRA",2,"Southern America",28.0329849679246
"151","BRB",2,"Southern America",28.8403970884676
"152","CHL",2,"Southern America",29.08945407625
"153","COL",2,"Southern America",28.0235340163
"154","CRI",2,"Southern America",28.7284080799398
"155","DOM",2,"Southern America",28.294152961972
"156","GUF",2,"Southern America",28.9816303780746
"157","GUY",2,"Southern America",26.7767353994892
"158","HTI",2,"Southern America",26.9912347875102
"159","JAM",2,"Southern America",27.7638475029764
"160","LCA",2,"Southern America",27.9079077350512
"161","PAN",2,"Southern America",28.6509752754177
"162","PRY",2,"Southern America",27.5786507843264
"163","SLV",2,"Southern America",27.4167656043326
"164","SUR",2,"Southern America",27.5960936752797
"165","TTO",2,"Southern America",28.3664567423907
"166","URY",2,"Southern America",28.7180396757704
"167","VCT",2,"Southern America",27.3171632941907
"168","VEN",2,"Southern America",27.3880670462521
"169","ARG",3,"Southern America",17.5040692671351
"170","AUS",3,"Oceania-Melanesia-Polynesia",20.3869363580074
"171","FJI",3,"Oceania-Melanesia-Polynesia",14.4542088477952
"172","NCL",3,"Oceania-Melanesia-Polynesia",19.4893377131124
"173","NZL",3,"Oceania-Melanesia-Polynesia",20.2389411725274
"174","SLB",3,"Oceania-Melanesia-Polynesia",16.1568417194163
"175","TON",3,"Oceania-Melanesia-Polynesia",16.7673567970623
"176","VUT",3,"Oceania-Melanesia-Polynesia",16.1604024315922
"177","WSM",3,"Oceania-Melanesia-Polynesia",16.5418028169695
"178","BHS",3,"Northern America",18.4247698914583
"179","BLZ",3,"Northern America",16.8559656807059
"180","CAN",3,"Northern America",20.1152511733765
"181","CUB",3,"Northern America",17.9037626583576
"182","ECU",3,"Northern America",19.6159225805142
"183","GTM",3,"Northern America",16.0939179729415
"184","HND",3,"Northern America",15.5096923575191
"185","MEX",3,"Northern America",18.4421214197892
"186","NIC",3,"Northern America",18.1085386900356
"187","PER",3,"Northern America",17.2836640003858
"188","PRI",3,"Northern America",18.9393547590313
"189","USA",3,"Northern America",19.0876247937149
"190","ALB",3,"Europe",17.5619015007149
"191","AUT",3,"Europe",19.151819149361
"192","BEL",3,"Europe",19.2852822791681
"193","BGR",3,"Europe",15.174547528712
"194","BIH",3,"Europe",14.899340574814
"195","BLR",3,"Europe",15.7003910751685
"196","CHE",3,"Europe",19.8976522359068
"197","CZE",3,"Europe",17.408781737759
"198","DEU",3,"Europe",18.4612172182125
"199","DNK",3,"Europe",18.6592792564364
"200","DZA",3,"Europe",18.4487793473309
"201","ESP",3,"Europe",19.6447368015948
"202","EST",3,"Europe",18.2846860496557
"203","FIN",3,"Europe",19.5984879875878
"204","FRA",3,"Europe",19.9044552215945
"205","GBR",3,"Europe",19.6220566647137
"206","GRC",3,"Europe",18.4700900554492
"207","HRV",3,"Europe",17.2801199654488
"208","HUN",3,"Europe",15.9790978467895
"209","IRL",3,"Europe",19.5533777676394
"210","ISL",3,"Europe",19.5186443743451
"211","ITA",3,"Europe",19.8387654018761
"212","LBY",3,"Europe",16.3131932210641
"213","LTU",3,"Europe",16.8983703693737
"214","LUX",3,"Europe",18.8534266339079
"215","LVA",3,"Europe",17.453989978019
"216","MAR",3,"Europe",16.9224994185878
"217","MDA",3,"Europe",13.9992849169004
"218","MKD",3,"Europe",14.691355282476
"219","MLT",3,"Europe",18.9126648566873
"220","MNE",3,"Europe",16.3297072782786
"221","NLD",3,"Europe",19.0846568969671
"222","NOR",3,"Europe",19.7220355169187
"223","POL",3,"Europe",17.3122213738298
"224","PRT",3,"Europe",19.3707208858293
"225","ROU",3,"Europe",15.4588265520259
"226","SRB",3,"Europe",15.0097670533335
"227","SVK",3,"Europe",16.4631809806121
"228","SVN",3,"Europe",18.1930994719201
"229","SWE",3,"Europe",19.8498117754356
"230","TUN",3,"Europe",16.832436654974
"231","UKR",3,"Europe",15.1681054214293
"232","XKX",3,"Europe",17.7242742845344
"233","BOL",3,"Southern America",13.8902887784253
"234","BRA",3,"Southern America",17.7546698921795
"235","BRB",3,"Southern America",19.1341451503897
"236","CHL",3,"Southern America",18.9415967528963
"237","COL",3,"Southern America",18.1082893430551
"238","CRI",3,"Southern America",18.3218381634603
"239","DOM",3,"Southern America",18.688640156163
"240","GUF",3,"Southern America",17.5341461648674
"241","GUY",3,"Southern America",15.0079216166378
"242","HTI",3,"Southern America",15.5310611507009
"243","JAM",3,"Southern America",15.5615414686349
"244","LCA",3,"Southern America",15.9206248955406
"245","PAN",3,"Southern America",19.3558741954503
"246","PRY",3,"Southern America",16.0257863339652
"247","SLV",3,"Southern America",17.7746842418477
"248","SUR",3,"Southern America",15.9127893426973
"249","TTO",3,"Southern America",17.9360618987454
"250","URY",3,"Southern America",18.5662562960504
"251","VCT",3,"Southern America",14.8453478094455
"252","VEN",3,"Southern America",18.0210709751098
"253","ARG",4,"Southern America",7.2191578892381
"254","AUS",4,"Oceania-Melanesia-Polynesia",6.43323961247606
"255","FJI",4,"Oceania-Melanesia-Polynesia",6.20788915970657
"256","NCL",4,"Oceania-Melanesia-Polynesia",8.0788257839032
"257","NZL",4,"Oceania-Melanesia-Polynesia",6.93712525219555
"258","SLB",4,"Oceania-Melanesia-Polynesia",6.03838973378713
"259","TON",4,"Oceania-Melanesia-Polynesia",6.50532120627406
"260","VUT",4,"Oceania-Melanesia-Polynesia",6.23209209317322
"261","WSM",4,"Oceania-Melanesia-Polynesia",6.35145488423592
"262","BHS",4,"Northern America",7.25660486734437
"263","BLZ",4,"Northern America",6.72053568861779
"264","CAN",4,"Northern America",6.73796097270414
"265","CUB",4,"Northern America",7.04654291182854
"266","ECU",4,"Northern America",6.644210025763
"267","GTM",4,"Northern America",6.73598833497429
"268","HND",4,"Northern America",6.09471620258814
"269","MEX",4,"Northern America",6.6339481555205
"270","NIC",4,"Northern America",6.0802892404367
"271","PER",4,"Northern America",6.15150246832563
"272","PRI",4,"Northern America",7.87241834167962
"273","USA",4,"Northern America",7.22835923738926
"274","ALB",4,"Europe",6.17484720586322
"275","AUT",4,"Europe",6.32890920523691
"276","BEL",4,"Europe",6.4362686838793
"277","BGR",4,"Europe",6.16740240785794
"278","BIH",4,"Europe",6.14064895080439
"279","BLR",4,"Europe",6.6395490484835
"280","CHE",4,"Europe",6.172787244469
"281","CZE",4,"Europe",6.47389842304769
